,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kpca__degree,param_kpca__gamma,param_kpca__kernel,param_kpca__coef0,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,1.4605793158213298,0.011334883213265473,0.4673529465993245,0.00698209686758902,5,0.5,poly,,"{'kpca__degree': 5, 'kpca__gamma': 0.5, 'kpca__kernel': 'poly'}",-8.62962962962963,-8.998183799491464,-8.175081729022883,-8.600965052714658,0.33664075617756267,1
1,1.242768367131551,0.09789107230698085,0.4627753098805745,0.023446968097543267,5,0.4,poly,,"{'kpca__degree': 5, 'kpca__gamma': 0.4, 'kpca__kernel': 'poly'}",-8.631082062454611,-9.030875408645114,-8.237559026516527,-8.633172165872084,0.3238734289169351,2
2,1.5452438990275066,0.02097995255010248,0.43973644574483234,0.0035070226868706873,5,0.3,poly,,"{'kpca__degree': 5, 'kpca__gamma': 0.3, 'kpca__kernel': 'poly'}",-8.645969498910675,-9.070105339629496,-8.255721031601889,-8.657265290047354,0.3325669320737845,3
3,1.3336408933003743,0.1419908546464638,0.4302864869435628,0.029130030857148995,3,0.5,poly,,"{'kpca__degree': 3, 'kpca__gamma': 0.5, 'kpca__kernel': 'poly'}",-8.741103848946986,-9.131492916818017,-8.269887395568471,-8.714161387111158,0.3522645225293597,4
4,1.5515275796254475,0.00877391193229279,0.47043704986572266,0.012683804393549408,3,0.4,poly,,"{'kpca__degree': 3, 'kpca__gamma': 0.4, 'kpca__kernel': 'poly'}",-8.76724763979666,-9.136215038140211,-8.276425717399201,-8.726629465112024,0.35218063177968345,5
5,1.5092400709788005,0.06110559828473092,0.4457435607910156,0.025940581899190872,3,0.3,poly,,"{'kpca__degree': 3, 'kpca__gamma': 0.3, 'kpca__kernel': 'poly'}",-8.79593318809005,-9.191064293498002,-8.316018888485289,-8.76767212335778,0.3577942901009992,6
6,1.2405296961466472,0.040867004845361175,0.3714140256245931,0.008201730135523036,,0.5,rbf,,"{'kpca__gamma': 0.5, 'kpca__kernel': 'rbf'}",-8.864560639070444,-9.29349800217944,-8.351616418452597,-8.83655835323416,0.3850310164562411,7
7,1.307465632756551,0.020967854818004193,0.38779624303181964,0.006186705161123659,,0.4,rbf,,"{'kpca__gamma': 0.4, 'kpca__kernel': 'rbf'}",-8.865286855482934,-9.317108608790411,-8.350526698147476,-8.844307387473608,0.39488416111901514,8
8,1.1480890115102131,0.09212951852645691,0.39231228828430176,0.02202284360664422,,0.3,rbf,,"{'kpca__gamma': 0.3, 'kpca__kernel': 'rbf'}",-8.868191721132897,-9.309480566654559,-8.358517980385034,-8.845396756057497,0.3885633092523423,9
9,1.2788879076639812,0.037270778753733455,0.3434329827626546,0.01946084656036691,,1,rbf,,"{'kpca__gamma': 1, 'kpca__kernel': 'rbf'}",-8.861292665214235,-9.312749727569924,-8.370504903741374,-8.848182432175177,0.38478152733352294,10
10,1.1091549396514893,0.06387942589174882,0.3555540243784587,0.017168176185950432,,0.3,sigmoid,1,"{'kpca__coef0': 1, 'kpca__gamma': 0.3, 'kpca__kernel': 'sigmoid'}",-8.961873638344226,-9.460951689066473,-8.440610243370868,-8.954478523593856,0.41658547121623407,11
11,1.1739482879638672,0.043264376426326724,0.33519641558329266,0.01774324143549283,,0.3,sigmoid,2,"{'kpca__coef0': 2, 'kpca__gamma': 0.3, 'kpca__kernel': 'sigmoid'}",-8.965504720406681,-9.47184889211769,-8.458045768252815,-8.965133126925728,0.41388347559092126,12
12,1.1907349427541096,0.029800885642281633,0.3485877513885498,0.01906732448049402,,0.4,sigmoid,1,"{'kpca__coef0': 1, 'kpca__gamma': 0.4, 'kpca__kernel': 'sigmoid'}",-8.982933914306463,-9.49800217944061,-8.482382855067199,-8.98777298293809,0.4146389718370204,13
13,1.1011363665262859,0.06465724204036762,0.31524157524108887,0.020006401520118,,0.4,sigmoid,2,"{'kpca__coef0': 2, 'kpca__gamma': 0.4, 'kpca__kernel': 'sigmoid'}",-9.001452432824982,-9.516164184525971,-8.492553577915002,-9.003390065088652,0.41788952631503856,14
14,1.1059308846791585,0.026178333487388218,0.35371851921081543,0.024037559096420472,,0.5,sigmoid,1,"{'kpca__coef0': 1, 'kpca__gamma': 0.5, 'kpca__kernel': 'sigmoid'}",-9.049382716049383,-9.524155466763531,-8.504903741373047,-9.026147308061987,0.41643201371182254,15
15,0.9628210862477621,0.016851224856423513,0.22297334671020508,0.028587333073251942,,0.5,sigmoid,2,"{'kpca__coef0': 2, 'kpca__gamma': 0.5, 'kpca__kernel': 'sigmoid'}",-9.058097312999275,-9.517617144932801,-8.529604068289139,-9.035106175407071,0.40368213915617374,16
